action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,13352855,[],CHEMBL2399318,Inhibition of full-length human KRas4B (amino acids 1 to 188)-SOS interaction assessed as inhibition of SOS-mediated nucleotide release activity,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]c2cc(Cl)cc(Cl)c2c1CCN,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2396593,J Med Chem,2013,,CHEMBL2396992,,CHEMBL2396992,3.81,1,http://www.openphacts.org/units/Nanomolar,1902314,=,1,1,=,,IC50,nM,,155000.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,155.0
,,13352856,[],CHEMBL2399319,Inhibition of full-length human KRas4B (amino acids 1 to 188)-SOS interaction assessed as inhibition of nucleotide exchange activity,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]c2cc(Cl)cc(Cl)c2c1CCN,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2396593,J Med Chem,2013,,CHEMBL2396992,,CHEMBL2396992,,0,http://www.openphacts.org/units/Nanomolar,1902314,=,1,1,=,,IC50,nM,,342000.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,342.0
,,14548911,[],CHEMBL3223233,Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,B,P01116,G12V,BAO_0000190,BAO_0000019,assay format,CC(C)[C@@H]1NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,,,CHEMBL3217533,Medchemcomm,2013,"{'bei': '4.24', 'le': None, 'lle': None, 'sei': None}",CHEMBL3218635,,CHEMBL3218635,5.92,0,http://www.openphacts.org/units/Nanomolar,2073173,=,1,1,=,,IC50,nM,,1200.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,1.2
,,14548912,[],CHEMBL3223233,Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,B,P01116,G12V,BAO_0000190,BAO_0000019,assay format,CCCC[C@H]1NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,,,CHEMBL3217533,Medchemcomm,2013,"{'bei': '3.33', 'le': None, 'lle': None, 'sei': None}",CHEMBL3218636,,CHEMBL3218636,5.00,0,http://www.openphacts.org/units/Nanomolar,2073174,=,1,1,=,,IC50,nM,,10000.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,10.0
,,14548913,[],CHEMBL3223233,Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,B,P01116,G12V,BAO_0000190,BAO_0000019,assay format,CC1(C)COC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C1=O,,,CHEMBL3217533,Medchemcomm,2013,"{'bei': '4.17', 'le': None, 'lle': None, 'sei': None}",CHEMBL3218637,,CHEMBL3218637,5.75,0,http://www.openphacts.org/units/Nanomolar,2073175,=,1,1,=,,IC50,nM,,1800.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,1.8
,,14548914,[],CHEMBL3223233,Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,B,P01116,G12V,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,,,CHEMBL3217533,Medchemcomm,2013,"{'bei': '4.61', 'le': None, 'lle': None, 'sei': None}",CHEMBL3218638,,CHEMBL3218638,6.70,0,http://www.openphacts.org/units/Nanomolar,2073176,=,1,1,=,,IC50,nM,,200.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,0.2
,,14548915,[],CHEMBL3223233,Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,B,P01116,G12V,BAO_0000190,BAO_0000019,assay format,CC1(C)COC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C1=O,,,CHEMBL3217533,Medchemcomm,2013,"{'bei': '3.53', 'le': None, 'lle': None, 'sei': None}",CHEMBL3218639,,CHEMBL3218639,5.00,0,http://www.openphacts.org/units/Nanomolar,2073177,=,1,1,=,,IC50,nM,,10000.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,10.0
,,14548916,[],CHEMBL3223233,Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,B,P01116,G12V,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](c2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,,,CHEMBL3217533,Medchemcomm,2013,"{'bei': '3.92', 'le': None, 'lle': None, 'sei': None}",CHEMBL3218640,,CHEMBL3218640,5.00,0,http://www.openphacts.org/units/Nanomolar,2073178,=,1,1,=,,IC50,nM,,10000.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,10.0
,,14548917,[],CHEMBL3223233,Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,B,P01116,G12V,BAO_0000190,BAO_0000019,assay format,CCCC[C@H]1NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,,,CHEMBL3217533,Medchemcomm,2013,"{'bei': '4.14', 'le': None, 'lle': None, 'sei': None}",CHEMBL3218641,,CHEMBL3218641,6.16,0,http://www.openphacts.org/units/Nanomolar,2073179,=,1,1,=,,IC50,nM,,700.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,0.7
,,14548918,[],CHEMBL3223233,Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,B,P01116,G12V,BAO_0000190,BAO_0000019,assay format,CC1(C)COC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C1=O,,,CHEMBL3217533,Medchemcomm,2013,"{'bei': '3.97', 'le': None, 'lle': None, 'sei': None}",CHEMBL3218642,,CHEMBL3218642,5.96,0,http://www.openphacts.org/units/Nanomolar,2073180,=,1,1,=,,IC50,nM,,1100.0,CHEMBL2189121,Homo sapiens,GTPase KRas,9606,,,IC50,uM,UO_0000065,,1.1
